features,feature_importances,iteration
log_size,0.5491154834525248,0
Cluster_11,0.5499150538675223,1
Price,0.5506394440197581,2
Category_TOOLS,0.5511045229809316,3
Category_SPORTS,0.5514937333062183,4
Category_PRODUCTIVITY,0.5525030016138576,5
diff_count_title,0.5529231195093178,6
Category_SOCIAL,0.5532119356947732,7
Cluster_7,0.5535394578897445,8
Cluster_28,0.5539663713646034,9
Cluster_18,0.554230980971786,10
Category_LIFESTYLE,0.554649501686104,11
Android Ver_1 and up,0.5553008390682215,12
Category_BUSINESS,0.5554841619118277,13
Cluster_21,0.5556407728200446,14
Category_PHOTOGRAPHY,0.5558222071957354,15
Category_HEALTH_AND_FITNESS,0.5559250264811347,16
log_price,0.5560994991400094,17
Category_PERSONALIZATION,0.556528883249325,18
Category_DATING,0.5566249654707268,19
is_cat_equal_genre,0.5570621530199246,20
Category_ART_AND_DESIGN,0.5570621530199246,21
Category_BEAUTY,0.5570621530199246,22
Category_EDUCATION,0.5570621530199246,23
Category_AUTO_AND_VEHICLES,0.5570621530199246,24
Category_EVENTS,0.5570621530199246,25
Category_FOOD_AND_DRINK,0.5570621530199246,26
Category_HOUSE_AND_HOME,0.5570621530199246,27
Category_SHOPPING,0.5572454061938621,28
Category_LIBRARIES_AND_DEMO,0.5572454061938621,29
Category_MAPS_AND_NAVIGATION,0.5572454061938621,30
Cluster_14,0.5573126049133036,31
Cluster_6,0.5578846629388364,32
Category_WEATHER,0.5578846629388364,33
Category_VIDEO_PLAYERS,0.5577585620319727,34
Cluster_25,0.5577257806601451,35
Cluster_1,0.5579168061497842,36
Cluster_15,0.5580541234436897,37
Category_TRAVEL_AND_LOCAL,0.5583233445843159,38
Cluster_16,0.5586664290614097,39
Type_Free,0.5581223348729605,40
Cluster_10,0.5583074656323351,41
Category_NEWS_AND_MAGAZINES,0.5575512255843602,42
diff_len_title,0.5569181283859598,43
len_of_app_title,0.5568381067436396,44
Cluster_23,0.5573885996122766,45
log_price^2,0.5567405123875995,46
Category_FAMILY,0.5561808560388818,47
price_for_mb,0.5567990222551052,48
Cluster_5,0.557263037483079,49
Category_BOOKS_AND_REFERENCE,0.5579903298133805,50
Cluster_3,0.5569418580957881,51
count_of_cleantext_title,0.5563794524875885,52
Cluster_4,0.55681191133991,53
Cluster_2,0.557248747153281,54
Cluster_17,0.5571417353727556,55
Cluster_0,0.5565176901099275,56
Size,0.5552226422324505,57
Cluster_20,0.5563753726840043,58
Category_COMICS,0.555241557184928,59
Cluster_29,0.5545396652054678,60
Cluster_24,0.5539362283403486,61
Cluster_27,0.5527397803016898,62
Android Ver_5 and up,0.551304062413709,63
Category_FINANCE,0.5496405714901681,64
Cluster_19,0.5482836869089835,65
Category_PARENTING,0.5463655853144878,66
Cluster_8,0.5447376539267741,67
Cluster_13,0.5445988911318077,68
Content Rating,0.543024856308576,69
Cluster_26,0.5402807616573853,70
count_of_app_title,0.5382625427136144,71
log_price log_size,0.5355953071900793,72
Category_COMMUNICATION,0.5330439316735814,73
Cluster_12,0.5306488633047569,74
Cluster_9,0.5278137716365333,75
Category_ENTERTAINMENT,0.5244995477630926,76
Cluster_22,0.5208516945029901,77
Android Ver_Varies with device,0.5179053243595897,78
Android Ver_4 and up,0.5131983973096316,79
Category_GAME,0.5078293361010217,80
Category_MEDICAL,0.49947055715902694,81
Type_Paid,0.4753446409904389,82
log_size^2,0.4480861968930488,83
unknown_size,0.32457638220044127,84
len_of_cleantext_title,0.0,85
